id,name,region,building
026f2e8d-0210-4ffd-85da-f17569acdbb7,Moreton Bay Boys' College,Redlands,Library
11d573b0-2f85-453e-a744-4fa85dac7f5c,Cannon Hill Anglican College,Central Brisbane,E Centre
18cc93e2-5db3-43d5-806f-866bebc13247,MacGregor State High School,South Brisbane,Library
2414a860-9182-4d04-99a0-7dc9b10f36e9,John Paul College,South Brisbane,G Centre
5da49982-d7f0-4319-88fb-58fb7e7ecc01,Loreto College,Central Brisbane,Ella Building
6eb57a60-6691-4209-97ee-161445c0bebc,Indooroopilly State High School,West Brisbane,X Block
